title,singers,album,download_link,directors,year,film,cast
Aashiqui Meri,"['Himesh Reshammiya', 'Sunidhi Chauhan']",36 China Town,https://www.youtube.com/watch?v=7-Kuk6G0a24,['Himesh Reshammiya'],2006,36 China Town,
24X7 Think Of You,"['Shaan', 'Sunidhi Chauhan']",36 China Town,https://www.youtube.com/watch?v=zsL6___fhx0,['Himesh Reshammiya'],2006,36 China Town,
Dil Tumhare Bina,"['Himesh Reshammiya', 'Alka Yagnik']",36 China Town,https://www.youtube.com/watch?v=ceWGH_lXgig,['Himesh Reshammiya'],2006,36 China Town,
Badi Dilchaspi Hai,"['Arya Acharya', 'KK']",36 China Town,https://www.youtube.com/watch?v=EoTy-pqq8vk,['Himesh Reshammiya'],2006,36 China Town,
Jab Kabhi,"['Kunal Ganjawala', 'Alka Yagnik']",36 China Town,https://www.youtube.com/watch?v=VCF3lX1VQtQ,['Himesh Reshammiya'],2006,36 China Town,
Aashiqui Meri (Remix),"['Himesh Reshammiya', 'Sunidhi Chauhan']",36 China Town,https://www.youtube.com/watch?v=_6yXSdopokk,['Himesh Reshammiya'],2006,36 China Town,
Tera Surroor,['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=CoRuihNeiOc,['Himesh Reshammiya'],2006,,
Naam Hai Tera,['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=DULrvDVqyXI,['Himesh Reshammiya'],2006,,
Samjho Na,['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=DrwU9OgJjW8,['Himesh Reshammiya'],2006,,
I Love You O Sayyoni,['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=15NzZ_gzcJM,['Himesh Reshammiya'],2006,,
Tu Yaad Naa Aaye Aisa Koi Din Nahi,['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=h4SPoOu7wL8,['Himesh Reshammiya'],2006,,
Mere Lamhon Ki Aarzoo,['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=18ly-76ORCY,['Himesh Reshammiya'],2006,,
Wada Tainu,['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=eRMrHZdUuFg,['Himesh Reshammiya'],2006,,
Chahe Gila Karo,['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=63aDpnIr_Ro,['Himesh Reshammiya'],2006,,
Aashiqana Hai Dil,['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=Kl9zIr785C0,['Himesh Reshammiya'],2006,,
Chhed De Pyar Di Baat,['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=npH0X4lIYLw,['Himesh Reshammiya'],2006,,
Nachle It's Folkish,['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=iTvMt4iRXLU,['Himesh Reshammiya'],2006,,
I Love You O Sayyoni (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=jL-LhZ8jftQ,['Himesh Reshammiya'],2006,,
Chhed De Pyar Di Baat (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=e9-5z_vNA8Q,['Himesh Reshammiya'],2006,,
Samjho Na (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=3pSgzslic3g,['Himesh Reshammiya'],2006,,
Aashiqana Hai Dil (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,https://www.youtube.com/watch?v=xVAxsgrmufI,['Himesh Reshammiya'],2006,,
Nachle It's Folkish (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=SPCz5DUdgAo,['Himesh Reshammiya'],2006,,
Naam Hai Tera (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=nz_rc67tMYU,['Himesh Reshammiya'],2006,,
Tera Surroor (Remix),['Himesh Reshammiya'],Aap Kaa Surroor,http://www.youtube.com/watch?v=u5sd1YeI9ok,['Himesh Reshammiya'],2006,,
Aap Ki Khatir,['Himesh Reshammiya'],Aap Ki Khatir,http://www.youtube.com/watch?v=j3ixqwdXTC0,['Himesh Reshammiya'],2006,Aap Ki Khatir,
I Love You For What You Are,"['Alisha Chinai', 'KK']",Aap Ki Khatir,http://www.youtube.com/watch?v=w7YgNUWRiBs,['Himesh Reshammiya'],2006,Aap Ki Khatir,
Meethi Meethi Baataan,"['Sunidhi Chauhan', 'Kailash Kher', 'Jaspinder Narula']",Aap Ki Khatir,http://www.youtube.com/watch?v=csQiOI7PC5s,['Himesh Reshammiya'],2006,Aap Ki Khatir,
Afsana Ban Gaya Hoon Main Tere Pyar Ka,['Himesh Reshammiya'],Aap Ki Khatir,http://www.youtube.com/watch?v=WMysoGKYKzQ,['Himesh Reshammiya'],2006,Aap Ki Khatir,
